start,end
2017-10-01 15:23:25,2017-10-01 15:26:26
2017-10-01 15:42:57,2017-10-01 17:49:59
2017-10-02 06:37:10,2017-10-02 06:42:53
2017-10-02 08:56:45,2017-10-02 09:18:03
2017-10-02 18:23:00,2017-10-02 18:45:05
2017-10-02 18:48:08,2017-10-02 19:10:54
2017-10-02 19:18:10,2017-10-02 19:31:45
2017-10-02 19:37:32,2017-10-02 19:46:37
2017-10-03 08:24:16,2017-10-03 08:32:27
2017-10-03 18:17:07,2017-10-03 18:27:46
2017-10-03 19:24:10,2017-10-03 19:52:08
2017-10-03 20:17:06,2017-10-03 20:23:52
2017-10-03 20:45:21,2017-10-03 20:57:10
2017-10-04 07:04:57,2017-10-04 07:13:31
2017-10-04 07:13:42,2017-10-04 07:21:54
2017-10-04 14:22:12,2017-10-04 14:50:00
2017-10-04 15:07:27,2017-10-04 15:44:49
2017-10-04 15:46:41,2017-10-04 16:32:33
2017-10-04 16:34:44,2017-10-04 16:46:59
2017-10-04 17:26:06,2017-10-04 17:31:36
2017-10-04 17:42:03,2017-10-04 17:50:41
2017-10-05 07:49:02,2017-10-05 08:12:55
2017-10-05 08:26:21,2017-10-05 08:29:45
2017-10-05 08:33:27,2017-10-05 08:38:31
2017-10-05 16:35:35,2017-10-05 16:51:52
2017-10-05 17:53:31,2017-10-05 18:16:50
2017-10-06 08:17:17,2017-10-06 08:38:01
2017-10-06 11:39:40,2017-10-06 11:50:38
2017-10-06 12:59:54,2017-10-06 13:13:14
2017-10-06 13:43:05,2017-10-06 14:14:56
2017-10-06 14:28:15,2017-10-06 15:09:26
2017-10-06 15:50:10,2017-10-06 16:12:34
2017-10-06 16:32:16,2017-10-06 16:39:31
2017-10-06 16:44:08,2017-10-06 16:48:39
2017-10-06 16:53:43,2017-10-06 17:09:03
2017-10-07 11:38:55,2017-10-07 11:53:06
2017-10-07 14:03:36,2017-10-07 14:07:05
2017-10-07 14:20:03,2017-10-07 14:27:36
2017-10-07 14:30:50,2017-10-07 14:44:51
2017-10-08 00:28:26,2017-10-08 00:30:48
2017-10-08 11:16:21,2017-10-08 11:33:24
2017-10-08 12:37:03,2017-10-08 13:01:29
2017-10-08 13:30:37,2017-10-08 13:57:53
2017-10-08 14:16:40,2017-10-08 15:07:19
2017-10-08 15:23:50,2017-10-08 15:50:01
2017-10-08 15:54:12,2017-10-08 16:17:42
2017-10-08 16:28:52,2017-10-08 16:35:18
2017-10-08 23:08:14,2017-10-08 23:33:41
2017-10-08 23:34:49,2017-10-08 23:45:11
2017-10-08 23:46:47,2017-10-09 00:10:57
2017-10-09 00:12:58,2017-10-09 00:36:40
2017-10-09 00:37:02,2017-10-09 00:53:33
2017-10-09 01:23:29,2017-10-09 01:48:13
2017-10-09 01:49:25,2017-10-09 02:13:35
2017-10-09 02:14:11,2017-10-09 02:29:40
2017-10-09 13:04:32,2017-10-09 13:13:25
2017-10-09 14:30:10,2017-10-09 14:38:55
2017-10-09 15:06:47,2017-10-09 15:11:30
2017-10-09 16:43:25,2017-10-09 16:45:38
2017-10-10 15:32:58,2017-10-10 15:51:24
2017-10-10 16:47:55,2017-10-10 17:03:47
2017-10-10 17:51:05,2017-10-10 18:00:18
2017-10-10 18:08:12,2017-10-10 18:19:11
2017-10-10 19:09:35,2017-10-10 19:14:32
2017-10-10 19:17:11,2017-10-10 19:23:08
2017-10-10 19:28:11,2017-10-10 19:44:40
2017-10-10 19:55:35,2017-10-10 20:11:54
2017-10-10 22:20:43,2017-10-10 22:33:23
2017-10-11 04:40:52,2017-10-11 04:59:22
2017-10-11 06:28:58,2017-10-11 06:40:13
2017-10-11 16:41:07,2017-10-11 17:01:14
2017-10-12 08:08:30,2017-10-12 08:35:03
2017-10-12 08:47:02,2017-10-12 08:59:50
2017-10-12 13:13:39,2017-10-12 13:37:45
2017-10-12 13:40:12,2017-10-12 13:48:17
2017-10-12 13:49:56,2017-10-12 13:53:16
2017-10-12 14:33:18,2017-10-12 14:39:57
2017-10-13 15:55:39,2017-10-13 15:59:41
2017-10-17 17:58:48,2017-10-17 18:01:38
2017-10-19 20:21:45,2017-10-19 20:29:15
2017-10-19 21:11:39,2017-10-19 21:29:37
2017-10-19 21:30:01,2017-10-19 21:47:23
2017-10-19 21:47:34,2017-10-19 21:57:07
2017-10-19 21:57:24,2017-10-19 22:09:52
2017-10-21 12:24:09,2017-10-21 12:36:24
2017-10-21 12:36:37,2017-10-21 12:42:13
2017-10-21 13:47:43,2017-10-22 11:09:36
2017-10-22 13:28:53,2017-10-22 13:31:44
2017-10-22 13:47:05,2017-10-22 13:56:33
2017-10-22 14:26:41,2017-10-22 14:32:39
2017-10-22 14:54:41,2017-10-22 15:09:58
2017-10-22 16:40:29,2017-10-22 16:51:40
2017-10-22 17:58:46,2017-10-22 18:28:37
2017-10-22 18:45:16,2017-10-22 18:50:34
2017-10-22 18:56:22,2017-10-22 19:11:10
2017-10-23 10:14:08,2017-10-23 10:35:32
2017-10-23 11:29:36,2017-10-23 14:38:34
2017-10-23 15:04:52,2017-10-23 15:32:58
2017-10-23 15:33:48,2017-10-23 17:06:47
2017-10-23 17:13:16,2017-10-23 19:31:26
2017-10-23 19:55:03,2017-10-23 20:25:53
2017-10-23 21:47:54,2017-10-23 22:18:04
2017-10-23 22:34:12,2017-10-23 22:48:42
2017-10-24 06:55:01,2017-10-24 07:02:17
2017-10-24 14:56:07,2017-10-24 15:03:16
2017-10-24 15:51:36,2017-10-24 15:59:50
2017-10-24 16:31:10,2017-10-24 16:55:09
2017-10-28 14:26:14,2017-10-28 14:32:34
2017-11-01 09:41:54,2017-11-01 09:52:23
2017-11-01 20:16:11,2017-11-01 20:32:13
2017-11-02 19:44:29,2017-11-02 19:50:56
2017-11-02 20:14:37,2017-11-02 20:30:29
2017-11-02 21:35:47,2017-11-02 21:38:57
2017-11-03 09:59:27,2017-11-03 10:11:46
2017-11-03 10:13:22,2017-11-03 10:32:02
2017-11-03 10:44:25,2017-11-03 10:50:34
2017-11-03 16:06:43,2017-11-03 16:44:38
2017-11-03 16:45:54,2017-11-03 17:00:27
2017-11-03 17:07:15,2017-11-03 17:35:05
2017-11-03 17:36:05,2017-11-03 17:46:48
2017-11-03 17:50:31,2017-11-03 18:00:03
2017-11-03 19:22:56,2017-11-03 19:45:51
2017-11-04 13:14:10,2017-11-04 13:26:15
2017-11-04 14:18:37,2017-11-04 14:30:05
2017-11-04 14:45:59,2017-11-04 15:03:20
2017-11-04 15:16:03,2017-11-04 15:44:30
2017-11-04 16:37:46,2017-11-04 16:58:22
2017-11-04 17:13:19,2017-11-04 17:34:50
2017-11-04 18:10:34,2017-11-04 18:58:44
2017-11-05 01:56:50,2017-11-05 01:01:04
